1970-01-01 01:01:21 status installed libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:21 remove libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:21 status half-configured libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:21 status half-installed libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:21 status config-files libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:22 status config-files libbind9-90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:22 status installed libcap-ng0:armhf 0.7.4-2
1970-01-01 01:01:22 remove libcap-ng0:armhf 0.7.4-2 <none>
1970-01-01 01:01:22 status half-configured libcap-ng0:armhf 0.7.4-2
1970-01-01 01:01:22 status half-installed libcap-ng0:armhf 0.7.4-2
1970-01-01 01:01:23 status config-files libcap-ng0:armhf 0.7.4-2
1970-01-01 01:01:23 status config-files libcap-ng0:armhf 0.7.4-2
1970-01-01 01:01:23 status installed libdaemon0:armhf 0.14-6
1970-01-01 01:01:24 remove libdaemon0:armhf 0.14-6 <none>
1970-01-01 01:01:24 status half-configured libdaemon0:armhf 0.14-6
1970-01-01 01:01:27 status half-installed libdaemon0:armhf 0.14-6
1970-01-01 01:01:27 status config-files libdaemon0:armhf 0.14-6
1970-01-01 01:01:27 status config-files libdaemon0:armhf 0.14-6
1970-01-01 01:01:27 status installed libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:28 remove libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:28 status half-configured libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:28 status half-installed libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:28 status config-files libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:28 status config-files libisccfg90:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:28 status installed libdns100:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:29 remove libdns100:armhf 1:9.9.5.dfsg-9+deb8u6 <none>
1970-01-01 01:01:29 status half-configured libdns100:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:29 status half-installed libdns100:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:29 status config-files libdns100:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:29 status config-files libdns100:armhf 1:9.9.5.dfsg-9+deb8u6
1970-01-01 01:01:30 status installed libdpkg-perl:all 1.17.26
1970-01-01 01:01:30 remove libdpkg-perl:all 1.17.26 <none>
1970-01-01 01:01:30 status half-configured libdpkg-perl:all 1.17.26
1970-01-01 01:01:30 status half-installed libdpkg-perl:all 1.17.26
1970-01-01 01:01:30 status config-files libdpkg-perl:all 1.17.26
1970-01-01 01:01:31 status config-files libdpkg-perl:all 1.17.26
1970-01-01 01:01:31 status config-files libdpkg-perl:all 1.17.26
1970-01-01 01:01:31 status not-installed libdpkg-perl:all <none>
1970-01-01 01:01:31 status installed libfakeroot:armhf 1.20.2-1
1970-01-01 01:01:32 remove libfakeroot:armhf 1.20.2-1 <none>
1970-01-01 01:01:32 status half-configured libfakeroot:armhf 1.20.2-1
1970-01-01 01:01:32 status half-installed libfakeroot:armhf 1.20.2-1
1970-01-01 01:01:32 status config-files libfakeroot:armhf 1.20.2-1
1970-01-01 01:01:32 status config-files libfakeroot:armhf 1.20.2-1
